Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
13/03/2016;GOA;43,31748953;-8,47923782;1,044;0,359914926;ES4;13;marzo;2016;Domingo;
14/03/2016;95;43,31748953;-8,47923782;1,164;0,118446106;ES4;14;marzo;2016;Lunes;
14/03/2016;GOA;43,31748953;-8,47923782;1,044;0,638182927;ES4;14;marzo;2016;Lunes;
15/03/2016;95;43,31748953;-8,47923782;1,174;0,154343939;ES4;15;marzo;2016;Martes;
15/03/2016;GOA;43,31748953;-8,47923782;1,044;0,542215139;ES4;15;marzo;2016;Martes;
16/03/2016;95;43,31748953;-8,47923782;1,164;0,131630213;ES4;16;marzo;2016;Miercoles;
16/03/2016;GOA;43,31748953;-8,47923782;1,034;0,542849608;ES4;16;marzo;2016;Miercoles;
17/03/2016;95;43,31748953;-8,47923782;1,164;0,134570295;ES4;17;marzo;2016;Jueves;
17/03/2016;GOA;43,31748953;-8,47923782;1,034;0,51234224;ES4;17;marzo;2016;Jueves;
18/03/2016;95;43,31748953;-8,47923782;1,174;0,152203866;ES4;18;marzo;2016;Viernes;
18/03/2016;GOA;43,31748953;-8,47923782;1,044;0,658417315;ES4;18;marzo;2016;Viernes;
19/03/2016;95;43,31748953;-8,47923782;1,174;0,179175707;ES4;19;marzo;2016;Sabado;San José
19/03/2016;GOA;43,31748953;-8,47923782;1,044;0,524889991;ES4;19;marzo;2016;Sabado;San José
20/03/2016;95;43,31748953;-8,47923782;1,174;0,136670714;ES4;20;marzo;2016;Domingo;
20/03/2016;GOA;43,31748953;-8,47923782;1,044;0,36093146;ES4;20;marzo;2016;Domingo;
21/03/2016;95;43,31748953;-8,47923782;1,174;0,13329884;ES4;21;marzo;2016;Lunes;
21/03/2016;GOA;43,31748953;-8,47923782;1,044;0,649811705;ES4;21;marzo;2016;Lunes;
22/03/2016;95;43,31748953;-8,47923782;1,184;0,123410445;ES4;22;marzo;2016;Martes;
22/03/2016;GOA;43,31748953;-8,47923782;1,064;0,558220995;ES4;22;marzo;2016;Martes;
23/03/2016;95;43,31748953;-8,47923782;1,184;0,136436565;ES4;23;marzo;2016;Miercoles;
23/03/2016;GOA;43,31748953;-8,47923782;1,064;0,683825644;ES4;23;marzo;2016;Miercoles;
24/03/2016;95;43,31748953;-8,47923782;1,194;0,201585416;ES4;24;marzo;2016;Jueves;Jueves Santo
24/03/2016;GOA;43,31748953;-8,47923782;1,064;0,57712728;ES4;24;marzo;2016;Jueves;Jueves Santo
25/03/2016;95;43,31748953;-8,47923782;1,194;0,107073507;ES4;25;marzo;2016;Viernes;Viernes Santo
25/03/2016;GOA;43,31748953;-8,47923782;1,064;0,315528557;ES4;25;marzo;2016;Viernes;Viernes Santo
26/03/2016;95;43,31748953;-8,47923782;1,194;0,135160704;ES4;26;marzo;2016;Sabado;
26/03/2016;GOA;43,31748953;-8,47923782;1,064;0,375065382;ES4;26;marzo;2016;Sabado;
27/03/2016;95;43,31748953;-8,47923782;1,194;0,104159861;ES4;27;marzo;2016;Domingo;
27/03/2016;GOA;43,31748953;-8,47923782;1,054;0,378493905;ES4;27;marzo;2016;Domingo;
28/03/2016;95;43,31748953;-8,47923782;1,194;0,11312173;ES4;28;marzo;2016;Lunes;
28/03/2016;GOA;43,31748953;-8,47923782;1,054;0,594690353;ES4;28;marzo;2016;Lunes;
29/03/2016;95;43,31748953;-8,47923782;1,184;0,126961707;ES4;29;marzo;2016;Martes;
29/03/2016;GOA;43,31748953;-8,47923782;1,044;0,504027428;ES4;29;marzo;2016;Martes;
30/03/2016;95;43,31748953;-8,47923782;1,184;0,132524008;ES4;30;marzo;2016;Miercoles;
30/03/2016;GOA;43,31748953;-8,47923782;1,044;0,58625469;ES4;30;marzo;2016;Miercoles;
31/03/2016;95;43,31748953;-8,47923782;1,184;0,130170558;ES4;31;marzo;2016;Jueves;
31/03/2016;GOA;43,31748953;-8,47923782;1,034;0,671246422;ES4;31;marzo;2016;Jueves;
01/04/2016;95;43,31748953;-8,47923782;1,194;0,161853706;ES4;1;abril;2016;Viernes;
01/04/2016;GOA;43,31748953;-8,47923782;1,024;0,719130551;ES4;1;abril;2016;Viernes;
02/04/2016;95;43,31748953;-8,47923782;1,194;0,194558424;ES4;2;abril;2016;Sabado;
02/04/2016;GOA;43,31748953;-8,47923782;1,024;0,558818327;ES4;2;abril;2016;Sabado;
03/04/2016;95;43,31748953;-8,47923782;1,194;0,133527954;ES4;3;abril;2016;Domingo;
03/04/2016;GOA;43,31748953;-8,47923782;1,024;0,399012797;ES4;3;abril;2016;Domingo;
04/04/2016;95;43,31748953;-8,47923782;1,194;0,146863755;ES4;4;abril;2016;Lunes;
04/04/2016;GOA;43,31748953;-8,47923782;1,024;0,579310783;ES4;4;abril;2016;Lunes;
05/04/2016;95;43,31748953;-8,47923782;1,184;0,131885133;ES4;5;abril;2016;Martes;
05/04/2016;GOA;43,31748953;-8,47923782;1,004;0,588593034;ES4;5;abril;2016;Martes;
06/04/2016;95;43,31748953;-8,47923782;1,174;0,15750747;ES4;6;abril;2016;Miercoles;
06/04/2016;GOA;43,31748953;-8,47923782;1,014;0,512999369;ES4;6;abril;2016;Miercoles;
07/04/2016;95;43,31748953;-8,47923782;1,174;0,119798128;ES4;7;abril;2016;Jueves;
